,SAMPLE,SERIAL,PERNUM,wage,sex,age,bpl,hisp,speakeng,asian,black,white,unempl,typhrs,degr,edu,grad,opl,inclvl,natage,yrusa,ageimmig,selfemp
190192,202201,840613,1,28000,0,35,210,0,3,0,0,0,0,48,0,12,0,1,1,5,19,16,0
190193,202201,840613,3,60000,0,27,300,0,5,0,0,0,0,60,0,12,0,1,1,10,22,5,0
190194,202201,840619,1,4000,1,28,300,1,4,0,0,0,0,36,0,13,0,1,1,2,17,11,0
190195,202201,840619,2,50000,0,31,210,0,5,0,0,0,0,40,0,12,0,1,1,18,31,0,0
190196,202201,840619,5,12000,1,55,300,1,6,0,0,0,0,40,0,12,0,1,1,42,41,14,0
190204,202201,840660,2,15000,0,52,453,0,3,0,0,1,0,40,1,16,0,1,0,42,52,0,0
190216,202201,840680,1,75000,0,25,465,0,4,0,0,1,0,40,1,16,0,1,1,3,8,17,0
190217,202201,840685,2,315000,1,42,500,1,3,1,0,0,0,50,1,18,1,1,1,23,35,7,0
190220,202201,840691,1,708000,0,61,260,0,3,0,1,0,0,45,1,18,1,0,1,39,52,9,0
190227,202201,840704,1,100000,0,65,436,0,4,0,0,1,0,40,1,16,0,1,0,38,49,16,0
190228,202201,840704,2,45000,1,62,436,1,4,0,0,1,0,40,1,16,0,1,0,38,46,16,0
190233,202201,840717,3,400,1,27,300,1,4,0,0,0,0,24,1,16,0,1,1,15,21,6,0
190235,202201,840718,2,80000,1,35,260,1,4,0,0,0,0,40,0,13,0,0,1,19,28,7,0
190238,202201,840724,2,0,1,63,260,1,3,0,1,0,0,53,0,12,0,0,1,28,48,15,1
190240,202201,840729,1,123000,0,59,515,0,4,1,0,0,0,35,1,16,0,1,1,36,44,15,0
190241,202201,840729,2,0,1,58,515,1,4,1,0,0,1,0,1,16,0,1,1,22,41,17,0
190260,202201,840779,3,5700,0,23,260,0,4,0,0,1,0,30,0,13,0,0,1,20,20,3,0
190261,202201,840779,4,30000,1,22,260,1,4,0,0,1,0,30,0,12,0,0,1,6,17,5,0
190271,202201,840787,3,4000,1,20,300,1,4,0,0,0,0,22,0,13,0,1,1,10,19,1,0
190279,202201,840802,1,72000,1,48,500,1,4,1,0,0,0,40,1,18,1,1,1,27,34,14,0
190282,202201,840804,2,708000,1,34,210,1,4,0,1,0,0,80,1,16,0,1,1,15,27,7,0
190283,202201,840814,2,80000,1,49,502,1,3,1,0,0,0,40,1,16,0,1,0,43,44,5,0
190285,202201,840834,1,34000,0,30,260,0,3,0,0,0,0,55,0,12,0,0,1,7,21,9,0
190290,202201,840840,1,0,0,69,500,0,5,1,0,0,0,40,0,12,0,1,1,46,53,16,1
190292,202201,840841,2,180000,1,44,500,1,4,1,0,0,0,50,1,18,1,1,1,32,40,4,0
190297,202201,840859,1,80000,1,23,500,1,4,1,0,0,0,40,1,16,0,1,1,5,11,12,0
190311,202201,840912,1,100000,0,46,260,0,3,0,1,0,0,40,1,18,1,0,1,22,30,16,0
190318,202201,840924,1,60000,0,42,455,0,4,0,0,1,0,40,0,12,0,1,0,22,27,15,0
190319,202201,840925,1,87000,1,40,300,1,4,0,0,1,0,43,0,13,0,1,1,17,23,17,0
190320,202201,840925,2,1000,0,38,300,0,4,0,0,1,1,40,0,14,0,1,1,24,31,7,0
190323,202201,840930,2,39000,0,29,260,0,3,1,0,0,0,40,0,13,0,0,1,2,29,0,0
190333,202201,840962,2,99000,1,26,413,1,3,0,0,1,0,40,1,16,0,0,0,15,24,2,0
190335,202201,840971,2,80000,1,28,300,1,4,0,0,0,0,40,1,18,1,1,1,10,15,13,0
190336,202201,840975,1,0,1,46,465,1,4,0,0,1,0,20,1,16,0,1,1,22,29,17,0
190337,202201,840975,2,145000,0,49,465,0,4,0,0,1,0,40,1,16,0,1,1,28,32,17,0
190357,202201,841007,2,37000,1,53,300,1,5,0,0,1,0,15,1,18,1,1,1,33,43,10,0
190362,202201,841043,3,42100,0,51,300,0,4,0,0,0,0,40,0,13,0,1,1,32,41,10,0
190369,202201,841068,1,230000,0,52,150,0,3,0,0,1,0,40,1,16,0,1,1,52,51,1,0
190373,202201,841074,3,39500,0,44,210,0,6,0,0,0,0,40,0,12,0,1,1,41,43,1,0
190381,202201,841079,3,150000,1,25,260,1,4,0,1,0,0,36,1,16,0,0,1,0,19,6,0
190390,202201,841093,1,40500,1,37,260,1,5,0,0,1,0,35,0,12,0,0,1,9,25,12,0
190392,202201,841097,1,50000,1,35,260,1,3,0,1,0,0,35,1,18,1,0,1,23,29,6,0
190395,202201,841107,1,100000,0,56,515,0,4,1,0,0,0,40,1,16,0,1,1,37,41,15,0
